ID,Title,Content,HTML内容,Excerpt,Slug,Categories,作者邮箱,创建时间,更新时间,发布时间
1,"New Work Basement","## 新的服务机环境
### 安装软件
1. 安装nginx
2. 安装python
3. 安装php
4. 安装mysql
5. 安装Flask
6. 安装October
7. 安装git

### 运行端口
1. 80 nginx默认页
2. 81 python uwsgi
3. 82 php october
4. 3306 mysql","<h2>新的服务机环境</h2>
<h3>安装软件</h3>
<ol>
<li>安装nginx</li>
<li>安装python</li>
<li>安装php</li>
<li>安装mysql</li>
<li>安装Flask</li>
<li>安装October</li>
<li>安装git</li>
</ol>
<h3>运行端口</h3>
<ol>
<li>80 nginx默认页</li>
<li>81 python uwsgi</li>
<li>82 php october</li>
<li>3306 mysql</li>
</ol>",,new-work-basement,,admin@domain.tld,"2015-11-26 07:52:00","2015-12-28 02:51:08",
2,"uwsgi 配置","```
[uwsgi]
socket=127.0.0.1:9090
processes=4
threads=2
master=true
pythonpath=/usr/share/nginx/html
module=collection
callable=app
memory-report=true
logto=/var/log/collection.log
vhost=true
```
>  在一台服务器下配置多主机时,一定要设置vhost=true

> socket可以设置成unix套接流,两者性能貌似没什么差异","<pre><code>[uwsgi]
socket=127.0.0.1:9090
processes=4
threads=2
master=true
pythonpath=/usr/share/nginx/html
module=collection
callable=app
memory-report=true
logto=/var/log/collection.log
vhost=true</code></pre>
<blockquote>
<p>在一台服务器下配置多主机时,一定要设置vhost=true</p>
<p>socket可以设置成unix套接流,两者性能貌似没什么差异</p>
</blockquote>",,uwsgi-conf,"Python Web相关",admin@domain.tld,"2015-11-27 06:51:04","2016-02-19 02:17:44","2015-11-27 00:00:00"
3,周末,"# 这是个愉快的周末


---


![`52O_KTE}42}AYZP7_1IPMO.png](/storage/app/uploads/public/565/afa/7ad/565afa7adb4b0064221809.png)","<h1>这是个愉快的周末</h1>
<hr />
<p><img src=""/storage/app/uploads/public/565/afa/7ad/565afa7adb4b0064221809.png"" alt=""`52O_KTE}42}AYZP7_1IPMO.png"" /></p>",,zhoumo,,admin@domain.tld,"2015-11-29 13:16:40","2015-12-28 02:50:51",
4,"DEDE CMS NOTE","# 目录结构
*根目录    
/dede    管理后台目录 
/freelist    自由文档列表生成目录 
/html    默认文章生成目录 
/include    程序核心文件目录 
/member    会员管理目录 
/plus    插件及辅助功能目录 
/setup    安装目录 
/special    专题生成目录 
/templets    默认模板存放目录 
/upimg    上传下载文件保存目录 
base.css    基本样式表 
index.php    网站默认首页 
robots.txt    搜索控制文件 
    
/templets模板目录    
/dedecmsv31    3模板目录 
/default    默认模板目录 
article_article.htm    普通文章页面模板 
article_default.htm    一般文档页面模板 
article_flash.htm    flash页面模板 
article_image.htm    图集页面模板 
article_soft.htm    软件页面模板 
article_spec.htm    专题页面模板 
index.htm    网站首页模板 
index_article.htm    文章频道封面模板 
index_article_webart1.htm    
index_article_webart2.htm    
index_article_webart.htm    
index_default.htm    一般文档封面模板 
index_flash.htm    flash频道封面模板 
index_image.htm    图集频道封面模板 
index_soft.htm    软件频道封面模板 
list_article.htm    文章列表模板 
list_default.htm    一般文档列表目录模板 
list_flash.htm    flash文档列表模板 
list_free.htm    自由列表模板 
list_image.htm    图集列表模板 
list_soft.htm    软件列表模板 
list_spec.htm    专题列表模板 
/img    模板图片目录（含样式表） 
/plus    辅助插件模板目录 
download_links_templet.htm    下载链接模板 
feedback_confirm.htm    评论确认模板 
feedback_templet.htm    用户评论模板 
feedback_templet_js.htm    
flink-add.htm    友情链接添加模板 
flink-list.htm    友情链接列表模板 
guestbook.htm    留言本模板 
heightsearch.htm    高级搜索模板 
js.htm    
recommend.htm    推荐好友模板 
rss.htm    RSS的XML模板 
rssmap.htm    RSS订阅文件 
showphoto.htm    图片显示模板 
sitemap.htm    网站地图模板 
view_msg.htm    会员提示信息模板 
vote.htm    投票结果显示模板 
/system    系统模板目录 
channel_list.htm    栏目列表系统模板 
list_fulllist.htm    文档列表系统模板 
mynews.htm    站内新闻系统模板 
part_arclist.htm    文章列表系统模板 
part_autochannel.htm    分类栏目系统模板 
part_channelartlist.htm    包含文章列表的栏目系统模板 
part_imginfolist.htm    使用imginfolist标签调用的模板 
part_imglist.htm    使用imglist标签调用的模板 
part_type_list.htm    单个栏目的系统模板 
spec_arclist.htm    专题列表文章系统模板 
spec_list.htm    专题用模板 
tag_arclist.htm    
tag_fieldlist.htm    fieldlist用系统模板 
/system/channel    频道特殊底层模板目录 
channel_downlinkpage.htm    下载地址列表链接模板 
channel_downlinks.htm    下载地址列表模板 
channel_spec_note.htm    专题节点列表模板 
    
/include目录  程序核心目录    
config_base.php    环境定义文件。用于检测系统环境，定义工作目录，保存数据库链接信息，引入常用函数等，建议不要修改。 
config_hand.php    系统配置文件。定义系统常用的配置信息定义，可从后台管理直接生成该文件。 
config_passport.php    通行证文件 
config_rglobals.php    检测系统外部变量 
config_rglobals_magic.php    同上 
inc_archives_view.php    用于浏览文档或对文档生成HTML 
inc_arclist_view.php    用于浏览频道列表或对内容列表生成HTML 
inc_arcmember_view.php    用于浏览会员发布的文档 
inc_arcpart_view.php    用于解析和创建全局性质的模板，如频道封面，主页，单个页面等 
inc_arcsearch_view.php    用于文档搜索 
inc_arcspec_view.php    用于浏览所有专题列表或对专题列表生成HTML 
inc_channel_unit.php    用户解析特定频道的附加数据结构信息 
inc_channel_unit_functions.php    系统共用函数集合 
inc_downclass.php    防采集随机字符串函数 
inc_freelist_view.php    用于对特定内容列表生成HTML 
inc_functions.php    可供用户使用的函数集合 
inc_imgbt.php    GetTypeidSelMember 
inc_memberlogin.php    用于用户登录及获得会员状态 
inc_photograph.php    用于处理系统中的图片，例如水印，缩略图等 
inc_photowatermark_config.php    图片处理参数定义 
inc_rss_view.php    用于浏览频道RSS或对RSS生成静态文件 
inc_separate_functions.php    SpGetArcList函数，用于获得文档列表 
inc_sitemap.php    用于生成网站地图 
inc_type_tree.php    用于选择栏目的目录树 
inc_type_tree_member.php    同上，会员使用 
inc_typelink.php    用于显示文章的位置和栏目位置等 
inc_typeunit_admin.php    用于频道管理时的一些复杂操作，主要用于后台 
inc_typeunit_menu.php    同上 
inc_userlogin.php    用于管理员登录 
inc_vote.php    用于管理投票 
jump.php    用于超链接跳转 
pub_charset.php    共用字符处理函数，GB/UTF-8/Unicode/BIG5等互换 
pub_collection.php    用于采集 
pub_collection_functions.php    采集用函数 
pub_datalist.php    后台管理用数据列表 
pub_datalist_dm.php    同上，不使用模板 
pub_db_mysql.php    用于操作数据库 
pub_dedehtml2.php    用于采集中的HTML解析 
pub_dedehtml.php    HTML解析器 
pub_dedetag.php    用于dede模板标签解析 
pub_httpdown.php    用于下载http中的资源 
pub_oxwindow.php    后台程序扩展 
pub_splitword_www.php    织梦分词算法 
validateimg.php    验证码 
vdimgck.php    验证码 
/inc    共用函数目录 
inc_fun_funAdmin.php    获取拼音码等函数 
inc_fun_funString.php    html代码处理等函数 
inc_fun_SpGetArcList.php    获取文档列表SpGetArcList","<h1>目录结构</h1>
<p>*根目录<br />
/dede    管理后台目录
/freelist    自由文档列表生成目录
/html    默认文章生成目录
/include    程序核心文件目录
/member    会员管理目录
/plus    插件及辅助功能目录
/setup    安装目录
/special    专题生成目录
/templets    默认模板存放目录
/upimg    上传下载文件保存目录
base.css    基本样式表
index.php    网站默认首页
robots.txt    搜索控制文件 </p>
<p>/templets模板目录<br />
/dedecmsv31    3模板目录
/default    默认模板目录
article_article.htm    普通文章页面模板
article_default.htm    一般文档页面模板
article_flash.htm    flash页面模板
article_image.htm    图集页面模板
article_soft.htm    软件页面模板
article_spec.htm    专题页面模板
index.htm    网站首页模板
index_article.htm    文章频道封面模板
index_article_webart1.htm<br />
index_article_webart2.htm<br />
index_article_webart.htm<br />
index_default.htm    一般文档封面模板
index_flash.htm    flash频道封面模板
index_image.htm    图集频道封面模板
index_soft.htm    软件频道封面模板
list_article.htm    文章列表模板
list_default.htm    一般文档列表目录模板
list_flash.htm    flash文档列表模板
list_free.htm    自由列表模板
list_image.htm    图集列表模板
list_soft.htm    软件列表模板
list_spec.htm    专题列表模板
/img    模板图片目录（含样式表）
/plus    辅助插件模板目录
download_links_templet.htm    下载链接模板
feedback_confirm.htm    评论确认模板
feedback_templet.htm    用户评论模板
feedback_templet_js.htm<br />
flink-add.htm    友情链接添加模板
flink-list.htm    友情链接列表模板
guestbook.htm    留言本模板
heightsearch.htm    高级搜索模板
js.htm<br />
recommend.htm    推荐好友模板
rss.htm    RSS的XML模板
rssmap.htm    RSS订阅文件
showphoto.htm    图片显示模板
sitemap.htm    网站地图模板
view_msg.htm    会员提示信息模板
vote.htm    投票结果显示模板
/system    系统模板目录
channel_list.htm    栏目列表系统模板
list_fulllist.htm    文档列表系统模板
mynews.htm    站内新闻系统模板
part_arclist.htm    文章列表系统模板
part_autochannel.htm    分类栏目系统模板
part_channelartlist.htm    包含文章列表的栏目系统模板
part_imginfolist.htm    使用imginfolist标签调用的模板
part_imglist.htm    使用imglist标签调用的模板
part_type_list.htm    单个栏目的系统模板
spec_arclist.htm    专题列表文章系统模板
spec_list.htm    专题用模板
tag_arclist.htm<br />
tag_fieldlist.htm    fieldlist用系统模板
/system/channel    频道特殊底层模板目录
channel_downlinkpage.htm    下载地址列表链接模板
channel_downlinks.htm    下载地址列表模板
channel_spec_note.htm    专题节点列表模板 </p>
<p>/include目录  程序核心目录<br />
config_base.php    环境定义文件。用于检测系统环境，定义工作目录，保存数据库链接信息，引入常用函数等，建议不要修改。
config_hand.php    系统配置文件。定义系统常用的配置信息定义，可从后台管理直接生成该文件。
config_passport.php    通行证文件
config_rglobals.php    检测系统外部变量
config_rglobals_magic.php    同上
inc_archives_view.php    用于浏览文档或对文档生成HTML
inc_arclist_view.php    用于浏览频道列表或对内容列表生成HTML
inc_arcmember_view.php    用于浏览会员发布的文档
inc_arcpart_view.php    用于解析和创建全局性质的模板，如频道封面，主页，单个页面等
inc_arcsearch_view.php    用于文档搜索
inc_arcspec_view.php    用于浏览所有专题列表或对专题列表生成HTML
inc_channel_unit.php    用户解析特定频道的附加数据结构信息
inc_channel_unit_functions.php    系统共用函数集合
inc_downclass.php    防采集随机字符串函数
inc_freelist_view.php    用于对特定内容列表生成HTML
inc_functions.php    可供用户使用的函数集合
inc_imgbt.php    GetTypeidSelMember
inc_memberlogin.php    用于用户登录及获得会员状态
inc_photograph.php    用于处理系统中的图片，例如水印，缩略图等
inc_photowatermark_config.php    图片处理参数定义
inc_rss_view.php    用于浏览频道RSS或对RSS生成静态文件
inc_separate_functions.php    SpGetArcList函数，用于获得文档列表
inc_sitemap.php    用于生成网站地图
inc_type_tree.php    用于选择栏目的目录树
inc_type_tree_member.php    同上，会员使用
inc_typelink.php    用于显示文章的位置和栏目位置等
inc_typeunit_admin.php    用于频道管理时的一些复杂操作，主要用于后台
inc_typeunit_menu.php    同上
inc_userlogin.php    用于管理员登录
inc_vote.php    用于管理投票
jump.php    用于超链接跳转
pub_charset.php    共用字符处理函数，GB/UTF-8/Unicode/BIG5等互换
pub_collection.php    用于采集
pub_collection_functions.php    采集用函数
pub_datalist.php    后台管理用数据列表
pub_datalist_dm.php    同上，不使用模板
pub_db_mysql.php    用于操作数据库
pub_dedehtml2.php    用于采集中的HTML解析
pub_dedehtml.php    HTML解析器
pub_dedetag.php    用于dede模板标签解析
pub_httpdown.php    用于下载http中的资源
pub_oxwindow.php    后台程序扩展
pub_splitword_www.php    织梦分词算法
validateimg.php    验证码
vdimgck.php    验证码
/inc    共用函数目录
inc_fun_funAdmin.php    获取拼音码等函数
inc_fun_funString.php    html代码处理等函数
inc_fun_SpGetArcList.php    获取文档列表SpGetArcList</p>",,dede-cms-note,,admin@domain.tld,"2015-12-01 13:51:19","2015-12-28 02:51:36",
5,Export,"```
/export/pwd1877408/items.xls
```
> 数据导出出口,python flask完成,目前数据量过大,导致超时,这里需要修改了","<pre><code>/export/pwd1877408/items.xls</code></pre>
<blockquote>
<p>数据导出出口,python flask完成,目前数据量过大,导致超时,这里需要修改了</p>
</blockquote>",,export,,admin@domain.tld,"2015-12-03 02:32:48","2016-02-19 03:24:42",
6,maple源码分析,"# 简介
>  2个epoll_fd，分别对应 外网链接 和 内网链接（之前也考虑过将accept线程单独放出来，后来发现会导致复杂度升高）分别处于单独的线程内，这样connection的申请和释放是不用加锁的。他们内部的沟通使用 加锁的queue。在每一次循环结束后进行pop和push。并通过notify()通知epoll退出等待，进行处理而每个线程内部，有一个临时queue，只有在epoll每循环一次之后，才会复制进去，这样就可以尽量避免锁了用队列的原因是，因为worker的连接没有办法和gateway完全同步，所以这个时候需要有队列暂时存储.内网连接里面分worker和trigger，worker是可以接受任务和返回消息的，而trigger只能返回消息。


![http://211.149.221.118:82/storage/app/media/img/ooo.png](http://211.149.221.118:82/storage/app/media/img/ooo.png)","<h1>简介</h1>
<blockquote>
<p>2个epoll_fd，分别对应 外网链接 和 内网链接（之前也考虑过将accept线程单独放出来，后来发现会导致复杂度升高）分别处于单独的线程内，这样connection的申请和释放是不用加锁的。他们内部的沟通使用 加锁的queue。在每一次循环结束后进行pop和push。并通过notify()通知epoll退出等待，进行处理而每个线程内部，有一个临时queue，只有在epoll每循环一次之后，才会复制进去，这样就可以尽量避免锁了用队列的原因是，因为worker的连接没有办法和gateway完全同步，所以这个时候需要有队列暂时存储.内网连接里面分worker和trigger，worker是可以接受任务和返回消息的，而trigger只能返回消息。</p>
</blockquote>
<p><img src=""http://211.149.221.118:82/storage/app/media/img/ooo.png"" alt=""http://211.149.221.118:82/storage/app/media/img/ooo.png"" /></p>",,maple-code,C++重拾,admin@domain.tld,"2015-12-28 02:44:24","2016-02-19 02:17:22","2015-12-28 00:00:00"
7,计划要做的事,"**2016年年度计划**
1. 离职,找一个新环境
2. 做一个轻论坛,叫长沙程序员工会
3. 做一个业余的业主装修交流圈,提供真诚服务,非盈利
4. 把Laravel高级技术订阅号重新维护起来,帮助PHP程序员们
5. 学习Django,会用,好吹牛逼
6. 不受语言约束,认真思考算法与设计给效率带来的提升
7. 继续学习octobercms
8. 找到简历或者重新做一份


---
**2016年年度计划完成情况**
1. 已经签字
2. 未开始
3. 已经建群
4. 已经关注
5. 初步了解
6. 未开始
7. 未开始
8. 未开始","<p><strong>2016年年度计划</strong></p>
<ol>
<li>离职,找一个新环境</li>
<li>做一个轻论坛,叫长沙程序员工会</li>
<li>做一个业余的业主装修交流圈,提供真诚服务,非盈利</li>
<li>把Laravel高级技术订阅号重新维护起来,帮助PHP程序员们</li>
<li>学习Django,会用,好吹牛逼</li>
<li>不受语言约束,认真思考算法与设计给效率带来的提升</li>
<li>继续学习octobercms</li>
<li>找到简历或者重新做一份</li>
</ol>
<hr />
<p><strong>2016年年度计划完成情况</strong></p>
<ol>
<li>已经签字</li>
<li>未开始</li>
<li>已经建群</li>
<li>已经关注</li>
<li>初步了解</li>
<li>未开始</li>
<li>未开始</li>
<li>未开始</li>
</ol>",,2016todo,计划&备忘,admin@domain.tld,"2016-02-16 07:36:32","2016-02-17 06:25:43",
8,mysql按周统计,"> 应用场景:一个采集程序,会不间断的采集数据,存入mysql中,并记录入库时间.那么,当我需要知道每天采集的数量分布图时,可以采用这条sql查出,并且输出到echarts里做分析.


---


```
SELECT DATE_FORMAT(date,'%Y%m%d') d , COUNT(*) c FROM col_visite_data GROUP BY d ORDER BY d DESC;
```


---

```
PS:最后ID 62790
```
http://211.149.221.118:81/m/27
http://211.149.221.118:81/m/1
---


![QQ截图20160218100328.png](/storage/app/uploads/public/56c/526/873/56c52687375b0002479986.png)

---
DATE_FORMAT(date,format)

根据format字符串格式化date值。下列修饰符可以被用在format字符串中：

%M 月名字(January……December)

%W 星期名字(Sunday……Saturday)

%D 有英语前缀的月份的日期(1st, 2nd, 3rd, 等等。）

%Y 年, 数字, 4 位

%y 年, 数字, 2 位

%a 缩写的星期名字(Sun……Sat)

%d 月份中的天数, 数字(00……31)

%e 月份中的天数, 数字(0……31)

%m 月, 数字(01……12)

%c 月, 数字(1……12)

%b 缩写的月份名字(Jan……Dec)

%j 一年中的天数(001……366)

%H 小时(00……23)

%k 小时(0……23)

%h 小时(01……12)

%I 小时(01……12)

%l 小时(1……12)

%i 分钟, 数字(00……59)

%r 时间,12 小时(hh:mm:ss [AP]M)

%T 时间,24 小时(hh:mm:ss)

%S 秒(00……59)

%s 秒(00……59)

%p AM或PM

%w 一个星期中的天数(0=Sunday ……6=Saturday ）

%U 星期(0……52), 这里星期天是星期的第一天

%u 星期(0……52), 这里星期一是星期的第一天

%% 一个文字“%”","<blockquote>
<p>应用场景:一个采集程序,会不间断的采集数据,存入mysql中,并记录入库时间.那么,当我需要知道每天采集的数量分布图时,可以采用这条sql查出,并且输出到echarts里做分析.</p>
</blockquote>
<hr />
<pre><code>SELECT DATE_FORMAT(date,'%Y%m%d') d , COUNT(*) c FROM col_visite_data GROUP BY d ORDER BY d DESC;</code></pre>
<hr />
<pre><code>PS:最后ID 62790</code></pre>
<h2><a href=""http://211.149.221.118:81/m/27"">http://211.149.221.118:81/m/27</a>
<a href=""http://211.149.221.118:81/m/1"">http://211.149.221.118:81/m/1</a></h2>
<p><img src=""/storage/app/uploads/public/56c/526/873/56c52687375b0002479986.png"" alt=""QQ截图20160218100328.png"" /></p>
<hr />
<p>DATE_FORMAT(date,format)</p>
<p>根据format字符串格式化date值。下列修饰符可以被用在format字符串中：</p>
<p>%M 月名字(January……December)</p>
<p>%W 星期名字(Sunday……Saturday)</p>
<p>%D 有英语前缀的月份的日期(1st, 2nd, 3rd, 等等。）</p>
<p>%Y 年, 数字, 4 位</p>
<p>%y 年, 数字, 2 位</p>
<p>%a 缩写的星期名字(Sun……Sat)</p>
<p>%d 月份中的天数, 数字(00……31)</p>
<p>%e 月份中的天数, 数字(0……31)</p>
<p>%m 月, 数字(01……12)</p>
<p>%c 月, 数字(1……12)</p>
<p>%b 缩写的月份名字(Jan……Dec)</p>
<p>%j 一年中的天数(001……366)</p>
<p>%H 小时(00……23)</p>
<p>%k 小时(0……23)</p>
<p>%h 小时(01……12)</p>
<p>%I 小时(01……12)</p>
<p>%l 小时(1……12)</p>
<p>%i 分钟, 数字(00……59)</p>
<p>%r 时间,12 小时(hh:mm:ss [AP]M)</p>
<p>%T 时间,24 小时(hh:mm:ss)</p>
<p>%S 秒(00……59)</p>
<p>%s 秒(00……59)</p>
<p>%p AM或PM</p>
<p>%w 一个星期中的天数(0=Sunday ……6=Saturday ）</p>
<p>%U 星期(0……52), 这里星期天是星期的第一天</p>
<p>%u 星期(0……52), 这里星期一是星期的第一天</p>
<p>%% 一个文字“%”</p>",,mysql201602,SQL,admin@domain.tld,"2016-02-18 01:51:10","2016-02-22 07:09:44",
9,商城需要的组件,"> 换了工作环境,同时工作内容发生了一些变化,主要做商城,由于要手写商城,不是基于二次开发框架开发,所以有必要做一些相关领域的功课.特意经过思考,记录一些该用到的组件.

*商城开发基于laravel框架,利用october做基石,同时需要必须的组件,才能构成基本商城.*

1. 商品
* Octoshop
* Octoshop Lite

2. 类目
* Octoshop

3. 订单
* Octoshop

4. 购物车
* OctoCart

5. 支付
6. 会员
7. 商家
8. 分销","<blockquote>
<p>换了工作环境,同时工作内容发生了一些变化,主要做商城,由于要手写商城,不是基于二次开发框架开发,所以有必要做一些相关领域的功课.特意经过思考,记录一些该用到的组件.</p>
</blockquote>
<p><em>商城开发基于laravel框架,利用october做基石,同时需要必须的组件,才能构成基本商城.</em></p>
<ol>
<li>
<p>商品</p>
<ul>
<li>Octoshop</li>
<li>Octoshop Lite</li>
</ul>
</li>
<li>
<p>类目</p>
<ul>
<li>Octoshop</li>
</ul>
</li>
<li>
<p>订单</p>
<ul>
<li>Octoshop</li>
</ul>
</li>
<li>
<p>购物车</p>
<ul>
<li>OctoCart</li>
</ul>
</li>
<li>支付</li>
<li>会员</li>
<li>商家</li>
<li>分销</li>
</ol>",,shop-component,新的工作,admin@domain.tld,"2016-02-26 09:46:19","2016-02-26 09:58:05",
10,构建一个简单的招聘网站,"# 计划
> 使用oc构建
**************************

# 功能
> 求职者模型
**************************
> 招聘者模型
**************************
> 简历系统
1. 求职者
    * 多个简历
    * 关键字
    * 推广
    * 帮助
    * 身份证
    * 学历
    * 经验
    * 擅长
    ******************
2. 企业的
    * 热搜
    * 置顶
    * 刷新
    * 认证
    * 管理
    * 简历库
    * 关键字
    ******************
3. 投递
4. 进度
5. 状态
6. 线上

## 招聘领域内的门户概念
*做成门户,论坛，ＩＭ，博客，每天滚动的资讯*


# 组件","<h1>计划</h1>
<blockquote>
<p>使用oc构建</p>
<hr />
</blockquote>
<h1>功能</h1>
<blockquote>
<p>求职者模型</p>
<hr />
<p>招聘者模型</p>
<hr />
<p>简历系统</p>
<ol>
<li>求职者
<ul>
<li>多个简历</li>
<li>关键字</li>
<li>推广</li>
<li>帮助</li>
<li>身份证</li>
<li>学历</li>
<li>经验</li>
<li>擅长
<hr /></li>
</ul></li>
<li>企业的
<ul>
<li>热搜</li>
<li>置顶</li>
<li>刷新</li>
<li>认证</li>
<li>管理</li>
<li>简历库</li>
<li>关键字
<hr /></li>
</ul></li>
<li>投递</li>
<li>进度</li>
<li>状态</li>
<li>线上</li>
</ol>
</blockquote>
<h2>招聘领域内的门户概念</h2>
<p><em>做成门户,论坛，ＩＭ，博客，每天滚动的资讯</em></p>
<h1>组件</h1>",,zhaopin-web,计划&备忘,admin@domain.tld,"2016-03-07 06:30:58","2016-03-07 07:21:10",
